Products,Characteristics,Current Week 02/Jan/2022-08/Jan,Last Week 26/Dec/2021-01/Jan,Change from Last Week
Gasoline (kl),,934924,965131,-30207
Naphtha (kl),,357264,237643,119621
Jet (kl),,114249,166599,-52350
Kerosene (kl),,457687,347108,110579
Gas Oil(Diesel) (kl),,685574,688134,-2560
LSA (kl),Sul under 0.1%,112171,96300,15871
HSA (kl),Sul over 0.1%,102082,112989,-10907
AFO (kl),,214253,209289,4964
LSC (kl),Sul under 0.5%,110646,122516,-11870
HSC (kl),Sul over 0.5%,165878,120087,45791
CFO (kl),,276524,242603,33921
Total (kl),,3040475,2856507,183968
